Dish Name,Critical Ingredients,Prep Instructions
"Vermicelli (Semiya Upma)",,
"Sabudana Khichdi",,
"Upma",,
"Uttapam","Rice, Urad Dal","Soak & Ferment batter (12+ hrs)"
"Poha",,
"Vegetable Quinoa",,
"Fried Idly","Rice, Urad Dal","Soak & Ferment batter (12+ hrs)"
"Veg cheese sandwiches (Grilled and Non-Grilled)",,
"Sooji Toast",,
"Chilla","Besan/Moong Dal","Soak Dal for 2-4 hrs (if Moong)"
"Kala Desi Chana Boiled, Onion, Tomato cut","Chickpeas","Soak Chole overnight (8-10 hrs)"
"Aloo Paratha, curd",,
"Paneer Paratha, curd","Paneer",
"Methi Paratha, chutney","Methi",
"Pav Bhaji",,
"Idly Sambhar","Rice, Urad Dal","Soak & Ferment batter (12+ hrs)"
"Chole, Poori","Chickpeas","Soak Chole overnight (8-10 hrs)"
"Aloo Bhaji, Poori",,
"Bread Roll",,
"Chole, Bhature","Chickpeas","Soak Chole overnight (8-10 hrs)"
"Dal Dhokli",,
"Stuffed Parathas Paneer/Pyaz/Aloo/Gobhi","Paneer",
"Masala Dosa, Chutney, Sambhar","Rice, Urad Dal","Soak & Ferment batter (12+ hrs)"
"Rajma, Jeera Onion Rice","Kidney Beans","Soak Rajma overnight (8-10 hrs)"
"Jeera Aloo, Dal, Roti",,
"Aloo Gajar Beans, Dal, Roti",,
"Aloo Gobhi, Dal, Roti",,
"Bhindi, Roti, Dal","Bhindi",
"Kadhi, Rice",,
"Lauki Kofta, Roti","Lauki",
"Matar mushroom, Roti","Mushrooms",
"Arbi masala, Roti, Dal","Arbi",
"Bharwa bhindi, Roti","Bhindi",
"Dal, Rice",,
"Chole, Rice","Chickpeas","Soak Chole overnight (8-10 hrs)"
"Dal makhani, rice","Urad Dal, Rajma","Soak Dal/Rajma overnight"
"Bharwa shimla mirch, roti","Capsicum",
"Aloo shimla, Roti","Capsicum",
"Gatte ki sabji, Roti",,
"Malai Kofta, Roti",,
"Dum Aloo, Roti",,
"Dal Baati",,
"Methi malai matar, Roti","Methi",
"Egg Curry, Roti",,
"Paneer Butter Masala","Paneer",
"Rajma Kashmiri","Kidney Beans","Soak Rajma overnight (8-10 hrs)"
"Matar Mushroom","Mushrooms",
"Veg/Peas/Masala/Soya Pulao",,
"Tawa Pulao",,
"Paneer bhurji, Paratha","Paneer",
"Veg Hakka Noodles",,
"Veg fried rice",,
"Veg daliya",,
"Veg Khichadi",,
"Lauki kofta, Roti","Lauki",
"Bhel Puri/Papdi chaat",,
"Lemon/Tomato rice",,
"Dal, Rice",,
"Dhokla",,
"Pasta",,
"Tomato Soup",,
"Soya Chaap",,
"Aloo/Pyaz/Paneer Paratha","Paneer",
"Paratha with Paneer curry (Butter/Shahi/Lababdar/Kadhai/DoPyaza)","Paneer",
"Veg kofta, Roti",,
"Chilli Paneer","Paneer",
"Veg Manchurian",,
"Idly, Chutney, Sambhar","Rice, Urad Dal","Soak & Ferment batter (12+ hrs)"
"Navratan Korma, Roti",,
"Brinjal","Brinjal",
"Palak","Palak",
"Karela",,
"Methi","Methi",
"Parwal",,
"Pumpkin","Pumpkin",
"Lauki","Lauki",
"Torai",,
"Kamal Kakdi",,
"Kathal",,
"Watermelon",,
"Pear",,
"Melon",,
"Plum",,
"Pomegranate",,
"Jamun",,
"Apples",,
"Grapes",,
"Banana",,
"Litchi",,
"Mangoes",,
